contractSymbol,lastTradeDate,strike,lastPrice,call_bid,call_ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expiration,ticker,S0,call_mid,bid_ask_spread,spread_percent,current_date,moneyness,K,S0,T,r,q
AAPL260209C00210000,2026-01-30 15:58:13+00:00,210.0,45.57,67.45,69.35,0.0,0.0,2.0,2,1.54297103515625,True,REGULAR,USD,call,2026-02-09,AAPL,278.12,68.4,1.8999999999999915,2.7777777777777652,2026-02-07 14:19:51.204281,ITM,210.0,278.12,0.0027397260273972603,0.045,0.37
AAPL260209C00215000,2026-02-06 18:41:39+00:00,215.0,62.19,62.25,64.4,1.7099991,2.8273795,1.0,3,1.36328443359375,True,REGULAR,USD,call,2026-02-09,AAPL,278.12,63.325,2.1500000000000057,3.395183576786428,2026-02-07 14:19:51.204281,ITM,215.0,278.12,0.0027397260273972603,0.045,0.37
AAPL260209C00220000,2026-02-06 19:26:42+00:00,220.0,57.25,57.3,59.3,12.25,27.222221,15.0,7,1.2324257128906249,True,REGULAR,USD,call,2026-02-09,AAPL,278.12,58.3,2.0,3.430531732418525,2026-02-07 14:19:51.204281,ITM,220.0,278.12,0.0027397260273972603,0.045,0.37
AAPL260209C00230000,2026-02-06 19:26:42+00:00,230.0,47.5,47.15,49.1,7.720001,19.40674,70.0,22,0.6875031250000001,True,REGULAR,USD,call,2026-02-09,AAPL,278.12,48.125,1.9500000000000028,4.051948051948058,2026-02-07 14:19:51.204281,ITM,230.0,278.12,0.0027397260273972603,0.045,0.37
AAPL260209C00235000,2026-02-06 20:42:09+00:00,235.0,43.1,41.9,44.4,16.429998,61.604794,13.0,5,0.7304714453125,True,REGULAR,USD,call,2026-02-09,AAPL,278.12,43.15,2.5,5.793742757821553,2026-02-07 14:19:51.204281,ITM,235.0,278.12,0.0027397260273972603,0.045,0.37
AAPL260209C00240000,2026-02-06 20:43:08+00:00,240.0,38.9,37.15,39.1,2.7600021,7.6369734,3030.0,230,0.5312546875,True,REGULAR,USD,call,2026-02-09,AAPL,278.12,38.125,1.9500000000000028,5.114754098360663,2026-02-07 14:19:51.204281,ITM,240.0,278.12,0.0027397260273972603,0.045,0.37
AAPL260209C00242500,2026-02-06 20:43:08+00:00,242.5,36.3,34.55,36.7,2.869999,8.5851,2192.0,165,0.500005,True,REGULAR,USD,call,2026-02-09,AAPL,278.12,35.625,2.1500000000000057,6.035087719298262,2026-02-07 14:19:51.204281,ITM,242.5,278.12,0.0027397260273972603,0.045,0.37
AAPL260209C00245000,2026-02-06 20:42:54+00:00,245.0,34.9,32.1,34.15,3.9000015,12.580649,1024.0,190,1.0434618139648442,True,REGULAR,USD,call,2026-02-09,AAPL,278.12,33.125,2.049999999999997,6.18867924528301,2026-02-07 14:19:51.204281,ITM,245.0,278.12,0.0027397260273972603,0.045,0.37
AAPL260209C00247500,2026-02-06 19:26:42+00:00,247.5,30.0,29.55,31.65,1.6200008,5.7082486,60.0,19,0.9794923925781251,True,REGULAR,USD,call,2026-02-09,AAPL,278.12,30.6,2.099999999999998,6.862745098039208,2026-02-07 14:19:51.204281,ITM,247.5,278.12,0.0027397260273972603,0.045,0.37
AAPL260209C00250000,2026-02-06 20:43:08+00:00,250.0,27.2,27.8,28.9,-0.79999924,-2.85714,2738.0,389,0.657229990234375,True,REGULAR,USD,call,2026-02-09,AAPL,278.12,28.35,1.0999999999999979,3.8800705467372056,2026-02-07 14:19:51.204281,ITM,250.0,278.12,0.0027397260273972603,0.045,0.37
AAPL260209C00252500,2026-02-06 20:42:54+00:00,252.5,24.85,25.0,26.65,1.4500008,6.1965847,591.0,143,0.5927775097656252,True,REGULAR,USD,call,2026-02-09,AAPL,278.12,25.825,1.6499999999999986,6.389157792836393,2026-02-07 14:19:51.204281,ITM,252.5,278.12,0.0027397260273972603,0.045,0.37
AAPL260209C00255000,2026-02-06 20:43:08+00:00,255.0,23.11,22.1,24.15,2.9099998,14.405939,4352.0,843,0.78711150390625,True,REGULAR,USD,call,2026-02-09,AAPL,278.12,23.125,2.049999999999997,8.864864864864852,2026-02-07 14:19:51.204281,ITM,255.0,278.12,0.0027397260273972603,0.045,0.37
